MQ2,MQ7,Flame,isFlame
92,265,947,1
88,339,946,1
80,86,683,1
82,94,94,1
137,86,955,1
83,83,960,0
75,87,971,0
78,98,965,0
73,83,519,1
75,91,973,0
100,96,961,0
85,113,969,0
100,101,966,0
100,85,954,0
107,85,956,1
76,93,678,1
100,95,964,0
99,94,967,0
80,82,548,1
99,100,944,0
73,211,968,0
96,84,955,0
88,248,949,0
87,116,969,0
119,94,958,1
90,222,946,0
82,156,969,0
78,138,944,0
86,82,969,0
100,94,967,0
77,120,943,0
99,97,959,0
76,94,84,1
90,342,932,1
99,93,961,0
82,95,84,1
87,111,927,0
106,98,931,1
75,87,971,0
79,97,676,1
78,157,970,0
98,83,956,0
78,88,82,1
106,84,950,1
122,93,948,1
76,96,76,1
99,88,951,0
114,98,936,1
69,80,969,0
84,106,82,1
98,92,967,0
74,89,82,1
98,90,956,0
116,85,950,1
75,84,968,0
79,92,285,1
79,185,962,0
70,299,965,1
75,85,969,0
104,82,959,1
76,105,970,0
79,123,963,0
125,97,961,1
117,92,950,1
127,81,950,1
78,92,278,1
102,104,964,1
82,139,960,0
80,98,674,1
121,91,955,1
99,87,957,0
99,92,959,0
77,106,79,1
85,139,946,0
70,89,673,1
100,91,964,0
73,157,968,0
72,296,966,1
114,97,938,1
81,93,277,1
78,97,84,1
105,84,953,1
78,179,967,0
78,137,969,0
73,149,969,0
99,84,957,0
70,300,974,1
77,120,943,0
98,80,957,0
98,89,955,0
72,84,339,1
114,91,951,1
97,96,959,0
87,213,948,0
78,134,80,1
90,265,952,1
90,343,929,1
80,94,372,1
79,122,967,0
78,179,967,0
74,90,81,1
115,84,952,1
126,87,948,1
81,103,74,1
83,82,961,0
83,82,959,0
119,84,958,1
78,96,963,0
99,82,953,0
90,396,943,1
78,131,77,1
86,110,927,0
99,91,940,0
84,129,947,0
100,85,958,0
100,95,962,0
81,97,87,1
75,99,76,1
108,80,956,1
115,84,949,1
73,181,968,0
80,80,689,1
85,104,79,1
80,96,80,1
78,85,689,1
99,83,950,0
80,99,84,1
75,84,964,0
105,84,952,1
84,165,948,0
75,85,973,0
87,299,951,1
73,275,972,1
124,92,960,1
99,98,944,0
97,84,954,0
99,97,966,0
75,86,519,1
81,96,89,1
75,94,86,1
98,81,953,0
81,89,375,1
100,97,966,0
112,102,956,1
73,149,969,0
75,84,964,0
97,92,967,0
119,86,950,1
98,94,964,0
100,94,963,0
82,87,85,1
97,89,949,0
80,99,92,1
82,193,944,0
70,89,338,1
93,399,950,1
85,141,74,1
124,90,962,1
100,84,960,0
78,94,966,0
101,81,959,1
76,84,959,0
77,91,287,1
116,99,933,1
76,273,964,1
99,87,953,0
100,96,964,0
79,118,953,0
110,105,964,1
113,92,950,1
76,84,673,1
100,94,958,0
99,84,953,0
99,92,961,0
98,90,968,0
79,85,84,1
114,79,955,1
100,88,957,0
98,80,957,0
90,222,946,0
99,89,960,0
99,83,952,0
77,137,79,1
100,81,960,0
78,135,72,1
78,93,475,1
113,102,941,1
100,89,949,0
87,284,942,1
73,81,549,1
90,222,946,0
76,296,972,1
75,72,970,0
98,80,950,0
99,87,953,0
79,147,963,0
77,138,71,1
79,82,525,1
82,261,946,1
90,287,941,1
135,90,957,1
70,89,379,1
77,84,386,1
71,87,474,1
78,104,962,0
79,83,472,1
90,290,952,1
99,96,967,0
88,112,928,0
79,91,75,1
135,86,952,1
73,90,286,1
98,81,955,0
117,91,958,1
77,88,86,1
95,249,945,0
80,116,966,0
90,397,950,1
80,95,84,1
84,164,946,0
96,88,957,0
83,167,961,0
74,96,73,1
70,88,390,1
98,90,963,0
99,100,944,0
85,140,969,0
77,95,86,1
81,93,85,1
100,90,954,0
85,104,71,1
77,84,468,1
77,94,82,1
100,80,957,0
83,82,960,0
74,95,90,1
98,95,960,0
102,87,957,1
82,101,80,1
99,94,965,0
73,149,969,0
75,92,474,1
124,92,958,1
97,97,968,0
99,80,959,0
73,81,688,1
99,81,950,0
80,97,81,1
110,88,958,1
116,86,950,1
97,82,958,0
104,86,954,1
107,100,936,1
128,89,956,1
84,129,947,0
83,82,960,0
114,91,950,1
97,95,968,0
122,90,955,1
74,87,341,1
118,89,953,1
79,89,678,1
117,89,959,1
99,81,951,0
86,138,969,0
78,89,964,0
96,84,958,0
97,84,959,0
108,88,956,1
86,81,970,0
79,92,85,1
98,95,963,0
120,84,953,1
96,339,927,1
78,157,970,0
87,111,927,0
116,98,960,1
97,88,952,0
97,82,957,0
100,100,965,0
99,81,959,0
78,275,969,1
117,93,957,1
82,91,82,1
99,87,955,0
99,101,960,0
98,89,961,0
91,398,942,1
81,94,282,1
123,82,952,1
69,80,969,0
77,103,76,1
108,83,955,1
77,90,327,1
73,87,547,1
80,87,383,1
130,84,956,1
79,140,947,0
73,94,87,1
71,279,968,1
99,89,961,0
72,94,88,1
83,264,945,1
72,79,395,1
77,92,91,1
108,95,944,1
69,80,969,0
79,99,122,1
88,260,951,1
99,98,965,0
84,83,955,0
78,87,381,1
86,110,927,0
90,287,941,1
78,96,77,1
120,89,958,1
94,394,942,1
100,85,954,0
99,97,961,0
99,94,941,0
104,90,936,1
82,91,129,1
77,96,126,1
79,94,85,1
81,103,972,0
100,91,957,0
80,92,77,1
89,390,950,1
78,104,962,0
98,87,956,0
100,90,954,0
81,145,75,1
74,82,960,0
134,87,952,1
82,148,970,0
97,81,951,0
98,95,960,0
100,80,957,0
99,98,944,0
76,305,967,1
72,90,477,1
73,86,554,1
82,94,277,1
115,89,954,1
84,134,947,0
100,84,950,0
127,92,957,1
97,100,964,0
100,97,962,0
135,88,950,1
97,90,959,0
78,91,474,1
69,80,970,0
77,120,943,0
86,130,968,0
118,87,962,1
72,96,81,1
99,85,950,0
73,306,967,1
100,97,967,0
115,83,956,1
79,96,365,1
115,101,956,1
100,84,956,0
122,87,954,1
74,82,960,0
73,186,969,0
100,85,954,0
114,94,963,1
75,86,470,1
78,125,969,0
76,101,969,0
100,85,950,0
97,97,968,0
73,88,338,1
88,112,928,0
77,96,88,1
97,99,965,0
107,84,958,1
98,89,962,0
69,298,972,1
83,83,960,0
99,84,953,0
70,278,968,1
100,88,954,0
74,92,81,1
71,89,974,0
78,137,969,0
100,92,960,0
74,113,969,0
86,265,951,1
78,270,973,1
99,96,935,0
100,81,950,0
99,93,961,0
71,79,390,1
100,89,949,0
77,90,89,1
100,83,958,0
75,106,81,1
99,99,958,0
125,90,953,1
111,84,949,1
108,98,941,1
74,94,88,1
85,142,74,1
118,79,952,1
119,98,953,1
106,98,942,1
86,340,931,1
84,165,948,0
75,88,93,1
85,101,72,1
78,89,367,1
86,130,968,0
128,82,958,1
96,84,955,0
78,119,927,0
111,96,961,1
115,101,937,1
75,95,682,1
99,91,945,0
100,83,959,0
118,83,955,1
100,85,954,0
93,345,947,1
100,97,961,0
100,82,950,0
100,85,950,0
98,90,964,0
73,298,966,1
99,86,958,0
73,93,89,1
116,95,947,1
88,261,951,1
78,116,944,0
79,81,678,1
98,94,967,0
100,96,964,0
112,97,934,1
100,99,935,0
100,83,956,0
100,87,956,0
109,91,945,1
75,88,81,1
87,116,969,0
98,95,963,0
77,153,968,0
82,91,82,1
89,113,929,0
98,95,960,0
85,140,969,0
129,90,954,1
100,84,950,0
88,266,945,1
78,84,468,1
129,99,959,1
71,86,523,1
80,127,966,0
76,89,88,1
80,134,966,0
117,93,955,1
99,80,959,0
114,90,950,1
78,120,945,0
126,91,953,1
99,81,959,0
97,100,964,0
81,88,86,1
74,86,326,1
88,296,948,1
77,96,86,1
98,81,953,0
99,96,940,0
98,83,951,0
106,106,959,1
98,94,964,0
78,179,967,0
78,152,968,0
79,96,77,1
80,89,82,1
72,85,287,1
108,103,960,1
79,127,939,0
96,86,957,0
106,82,959,1
100,83,957,0
79,98,124,1
78,89,89,1
99,96,935,0
100,81,953,0
100,87,952,0
76,101,969,0
99,94,960,0
85,108,969,0
108,105,938,1
99,96,963,0
114,92,953,1
74,85,963,0
105,98,941,1
82,99,74,1
103,85,952,1
75,97,969,0
115,84,954,1
100,96,961,0
130,83,956,1
84,138,967,0
116,90,951,1
127,92,956,1
75,72,970,0
121,96,963,1
75,72,970,0
73,85,87,1
114,91,953,1
81,89,284,1
77,92,90,1
96,82,956,0
78,91,91,1
100,96,961,0
79,84,319,1
77,134,943,0
78,85,345,1
97,84,952,0
84,180,947,0
105,86,949,1
99,90,967,0
99,81,957,0
124,95,963,1
100,91,959,0
115,89,950,1
113,88,951,1
73,88,92,1
91,290,946,1
84,112,968,0
129,90,949,1
73,91,674,1
84,129,947,0
115,95,953,1
71,90,684,1
106,93,931,1
80,154,949,0
93,291,954,1
114,79,955,1
99,89,965,0
69,80,969,0
110,83,952,1
95,337,945,1
104,106,956,1
76,85,689,1
78,95,88,1
100,92,960,0
109,89,959,1
102,96,955,1
126,82,957,1
71,89,343,1
100,90,960,0
73,92,85,1
87,111,927,0
74,89,387,1
77,113,945,0
78,96,971,0
97,99,965,0
70,81,687,1
70,83,317,1
98,99,966,0
76,88,547,1
76,94,673,1
99,98,963,0
77,103,83,1
98,90,956,0
78,116,944,0
119,91,948,1
102,97,959,1
75,298,970,1
97,95,968,0
78,93,82,1
74,82,960,0
89,338,931,1
100,81,951,0
84,184,950,0
81,94,81,1
73,211,968,0
98,83,954,0
99,98,959,0
97,81,953,0
84,101,79,1
86,138,969,0
81,97,93,1
78,88,89,1
86,206,942,0
97,89,949,0
78,98,89,1
81,91,77,1
125,91,948,1
108,104,944,1
98,83,954,0
99,84,952,0
79,89,76,1
127,85,953,1
71,80,555,1
83,108,970,0
78,89,964,0
114,91,954,1
76,89,374,1
125,92,951,1
79,127,939,0
98,99,966,0
71,86,348,1
108,85,951,1
99,81,957,0
100,87,958,0
98,94,964,0
114,93,947,1
111,101,962,1
100,91,959,0
81,87,83,1
100,80,957,0
71,79,524,1
96,84,958,0
79,89,84,1
100,94,961,0
84,127,968,0
114,87,956,1
99,85,950,0
82,105,970,0
82,89,91,1
100,97,938,0
99,89,959,0
72,84,345,1
80,100,90,1
100,81,950,0
99,94,962,0
75,97,679,1
72,272,973,1
72,94,80,1
98,81,949,0
100,80,952,0
128,98,961,1
76,304,965,1
86,263,947,1
123,92,953,1
72,296,974,1
121,87,954,1
77,270,969,1
99,95,957,0
97,98,967,0
100,97,964,0
105,87,954,1
88,292,943,1
100,96,961,0
79,146,945,0
76,97,71,1
99,94,958,0
100,83,958,0
100,91,959,0
76,90,689,1
99,81,951,0
117,84,949,1
85,195,948,0
68,279,974,1
72,79,518,1
83,122,947,0
99,91,945,0
108,81,958,1
88,295,944,1
98,83,953,0
102,97,959,1
105,81,951,1
74,81,677,1
100,83,959,0
97,84,959,0
81,94,78,1
96,84,958,0
84,83,955,0
81,90,82,1
74,85,963,0
78,88,84,1
70,96,680,1
90,289,943,1
126,84,949,1
105,83,956,1
75,81,345,1
99,94,967,0
99,81,954,0
87,116,969,0
99,82,953,0
72,91,88,1
72,85,278,1
99,97,959,0
119,96,964,1
97,93,958,0
85,167,949,0
98,89,962,0
124,94,963,1
74,87,469,1
73,97,88,1
111,103,941,1
73,186,969,0
70,81,970,0
80,100,89,1
118,86,958,1
100,92,960,0
89,335,926,1
98,94,967,0
111,98,955,1
88,228,948,0
75,95,369,1
84,143,970,0
92,395,947,1
80,177,955,0
99,102,967,0
100,100,965,0
99,94,962,0
81,95,86,1
76,91,80,1
98,92,967,0
80,106,966,0
100,83,955,0
73,85,960,0
123,88,957,1
80,116,966,0
69,80,969,0
79,146,945,0
77,89,83,1
126,97,961,1
111,99,954,1
70,82,687,1
98,90,957,0
84,83,955,0
100,95,943,0
99,93,961,0
121,94,963,1
76,96,76,1
98,87,955,0
110,106,961,1
78,115,949,0
85,139,946,0
69,80,969,0
91,121,968,0
99,81,950,0
79,122,930,0
98,99,967,0
100,95,964,0
78,87,963,0
78,96,964,0
74,91,282,1
98,98,959,0
81,134,966,0
97,90,959,0
70,82,970,0
105,91,959,1
99,96,958,0
84,180,945,0
86,208,948,0
82,193,944,0
100,88,954,0
82,93,86,1
100,89,949,0
73,89,348,1
71,83,476,1
78,83,474,1
79,127,939,0
99,100,944,0
100,94,940,0
86,208,948,0
75,81,343,1
134,83,951,1
75,107,970,0
74,82,960,0
99,81,957,0
82,139,960,0
74,82,545,1
75,86,970,0
103,92,964,1
101,96,960,1
97,90,962,0
101,95,963,1
98,93,966,0
83,141,969,0
82,156,969,0
70,84,971,0
91,267,953,1
77,83,346,1
99,84,957,0
92,290,950,1
72,89,391,1
100,92,960,0
73,149,969,0
100,80,957,0
82,105,970,0
71,82,546,1
109,88,953,1
72,274,970,1
121,92,958,1
80,134,966,0
100,96,942,0
83,93,91,1
113,99,941,1
132,85,957,1
97,96,962,0
99,96,961,0
108,84,959,1
99,94,959,0
100,85,950,0
129,84,959,1
88,85,935,0
99,95,943,0
88,112,928,0
77,92,124,1
97,90,965,0
104,95,967,1
78,99,963,0
114,84,958,1
70,82,958,0
80,87,86,1
100,97,965,0
88,338,945,1
74,96,672,1
75,107,970,0
93,287,941,1
119,91,960,1
80,149,969,0
104,91,963,1
122,85,951,1
99,90,959,0
116,102,960,1
81,135,80,1
97,81,953,0
99,81,957,0
98,90,953,0
99,80,959,0
105,83,954,1
69,297,964,1
99,90,959,0
95,335,928,1
99,90,966,0
83,83,959,0
86,292,951,1
121,90,958,1
109,87,959,1
76,90,81,1
99,96,967,0
101,101,957,1
87,136,78,1
78,95,85,1
99,91,942,0
73,180,969,0
136,80,948,1
70,82,958,0
112,85,950,1
97,97,968,0
73,181,968,0
76,94,85,1
75,95,967,0
77,82,546,1
79,90,473,1
98,84,959,0
131,84,959,1
105,102,957,1
97,94,967,0
82,105,75,1
74,94,83,1
71,83,678,1
120,98,959,1
99,82,955,0
100,83,955,0
117,104,939,1
81,103,972,0
128,84,954,1
77,105,967,0
73,88,88,1
104,81,954,1
76,105,970,0
86,336,923,1
69,80,969,0
74,84,281,1
79,103,77,1
84,83,955,0
81,139,75,1
85,137,72,1
76,87,89,1
81,130,956,0
100,92,958,0
79,123,963,0
96,82,951,0
72,85,386,1
99,98,941,0
123,89,963,1
108,99,945,1
71,89,974,0
90,285,945,1
77,276,972,1
110,86,951,1
83,140,75,1
83,138,82,1
86,264,945,1
73,92,85,1
99,96,935,0
115,102,938,1
83,117,927,0
93,292,940,1
80,96,95,1
91,290,939,1
122,88,949,1
99,82,952,0
78,96,971,0
99,99,961,0
78,135,81,1
98,90,953,0
79,131,947,0
70,91,675,1
137,86,954,1
111,86,953,1
89,271,952,1
100,80,954,0
78,94,280,1
85,140,969,0
100,81,960,0
82,88,80,1
99,80,953,0
78,96,964,0
107,89,959,1
82,91,82,1
94,345,953,1
70,303,969,1
74,100,123,1
103,94,958,1
106,96,960,1
77,270,965,1
127,81,949,1
78,117,968,0
78,90,551,1
81,100,972,0
70,81,970,0
79,89,87,1
74,87,84,1
73,83,678,1
83,167,961,0
99,95,943,0
81,130,956,0
82,148,970,0
100,99,935,0
122,99,960,1
82,139,960,0
100,83,957,0
98,87,955,0
122,88,963,1
77,134,943,0
79,81,671,1
73,91,90,1
107,95,964,1
98,80,952,0
80,131,76,1
97,83,950,0
78,137,969,0
100,97,958,0
70,88,679,1
83,117,927,0
100,86,955,0
98,90,956,0
117,81,957,1
97,93,964,0
99,96,961,0
82,84,285,1
82,139,960,0
96,83,959,0
80,95,88,1
77,92,82,1
115,84,958,1
101,80,954,1
91,339,928,1
97,96,959,0
79,91,88,1
98,99,967,0
99,91,942,0
77,99,78,1
73,84,550,1
108,80,958,1
122,91,952,1
122,87,956,1
100,91,964,0
88,112,928,0
98,99,966,0
84,138,967,0
100,96,942,0
84,127,968,0
100,94,957,0
87,213,948,0
98,83,953,0
98,95,958,0
100,94,963,0
82,91,83,1
120,91,960,1
96,90,949,0
83,100,88,1
77,96,93,1
119,87,956,1
114,89,954,1
95,392,948,1
75,306,968,1
92,221,945,0
111,102,956,1
71,92,318,1
99,81,957,0
83,100,74,1
99,97,939,0
104,87,958,1
110,87,949,1
99,94,961,0
118,85,957,1
100,100,937,0
78,98,958,0
100,92,945,0
83,122,947,0
70,86,520,1
117,92,957,1
99,89,963,0
73,181,968,0
72,88,278,1
78,137,969,0
99,96,940,0
90,346,955,1
73,88,546,1
75,270,969,1
74,85,963,0
75,84,968,0
99,96,962,0
100,100,937,0
79,118,953,0
105,88,959,1
86,182,949,0
74,80,549,1
81,97,84,1
99,81,957,0
80,96,370,1
76,96,90,1
95,346,948,1
80,82,676,1
118,93,956,1
73,97,677,1
99,81,957,0
100,83,950,0
75,97,679,1
78,104,962,0
129,83,957,1
97,99,965,0
97,98,967,0
76,273,968,1
70,93,677,1
79,99,373,1
105,100,955,1
87,116,969,0
98,87,955,0
97,99,965,0
83,156,946,0
80,165,945,0
100,90,954,0
79,124,933,0
108,98,957,1
130,82,957,1
84,184,950,0
84,133,75,1
100,93,938,0
69,80,970,0
86,110,927,0
105,81,954,1
107,102,931,1
83,82,961,0
107,88,952,1
83,82,959,0
73,97,78,1
104,85,959,1
114,101,944,1
74,92,87,1
78,125,969,0
76,302,973,1
81,105,82,1
73,211,968,0
78,84,283,1
99,96,967,0
100,96,961,0
129,83,955,1
109,85,950,1
81,100,73,1
128,86,957,1
77,105,967,0
78,111,969,0
74,82,960,0
80,85,671,1
98,83,954,0
74,81,348,1
113,93,956,1
76,105,970,0
108,92,962,1
80,96,78,1
113,91,958,1
96,84,957,0
100,82,954,0
78,83,389,1
82,94,120,1
99,80,959,0
114,89,952,1
82,90,84,1
77,91,322,1
99,81,954,0
103,91,965,1
101,93,961,1
117,85,954,1
97,89,958,0
119,100,963,1
97,81,952,0
90,115,929,0
100,94,963,0
99,99,961,0
100,87,958,0
123,98,957,1
84,265,954,1
99,87,955,0
134,92,951,1
123,87,952,1
73,182,969,0
128,83,955,1
99,89,960,0
86,284,945,1
79,122,967,0
85,140,969,0
80,88,686,1
96,80,951,0
108,86,955,1
86,293,951,1
99,81,959,0
95,399,948,1
88,263,952,1
100,87,958,0
114,89,948,1
101,84,954,1
71,85,975,0
80,86,326,1
122,96,956,1
74,95,85,1
74,113,969,0
84,138,967,0
76,101,969,0
97,91,962,0
121,88,954,1
110,105,937,1
134,81,954,1
121,93,946,1
80,127,966,0
70,87,395,1
78,91,965,0
100,92,965,0
78,96,964,0
86,138,969,0
103,98,968,1
113,81,950,1
78,96,971,0
112,86,952,1
79,97,969,0
120,94,957,1
99,95,957,0
99,87,955,0
82,118,946,0
80,88,90,1
76,94,82,1
79,119,969,0
128,98,959,1
81,98,365,1
71,85,387,1
84,293,945,1
86,208,948,0
125,84,951,1
96,82,957,0
117,103,959,1
100,82,959,0
78,82,395,1
121,87,955,1
99,96,967,0
81,85,280,1
100,92,945,0
126,82,955,1
99,97,959,0
75,99,79,1
88,300,954,1
82,143,959,0
79,127,939,0
100,99,935,0
120,87,955,1
72,80,673,1
76,90,81,1
133,80,955,1
107,106,956,1
112,94,953,1
78,87,680,1
79,82,522,1
84,291,951,1
103,82,959,1
100,100,965,0
99,81,959,0
75,272,969,1
107,100,941,1
82,90,82,1
98,92,967,0
98,89,966,0
77,92,90,1
103,80,950,1
75,84,973,0
100,94,957,0
125,92,957,1
97,94,967,0
99,92,959,0
79,118,953,0
74,93,679,1
87,190,946,0
97,99,965,0
124,82,948,1
107,89,953,1
122,91,956,1
83,83,960,0
76,85,390,1
71,89,974,0
100,85,954,0
84,165,948,0
73,88,92,1
133,84,950,1
98,90,963,0
76,84,959,0
76,79,387,1
99,94,962,0
74,90,281,1
70,83,970,0
98,91,962,0
75,91,122,1
100,91,959,0
100,97,967,0
96,397,943,1
112,86,950,1
80,85,689,1
100,92,958,0
98,95,958,0
99,92,961,0
88,271,954,1
77,86,962,0
79,302,972,1
81,87,83,1
100,80,954,0
122,89,956,1
99,98,941,0
99,96,960,0
78,98,958,0
79,86,338,1
99,84,957,0
81,90,83,1
100,94,961,0
99,100,944,0
99,82,955,0
109,95,958,1
78,86,387,1
80,86,277,1
105,82,951,1
118,92,947,1
86,206,942,0
88,112,928,0
98,85,959,0
79,92,386,1
126,100,958,1
80,127,966,0
85,108,969,0
74,193,969,0
99,97,964,0
97,82,957,0
75,95,967,0
86,208,948,0
76,86,961,0
99,89,957,0
71,297,971,1
97,99,965,0
113,99,965,1
99,96,962,0
69,81,962,0
73,186,969,0
78,116,944,0
122,87,955,1
77,120,943,0
97,93,958,0
114,89,955,1
72,97,82,1
98,89,954,0
126,85,955,1
79,99,672,1
75,84,964,0
70,83,970,0
98,89,958,0
74,193,969,0
105,99,960,1
108,83,951,1
100,95,960,0
76,90,85,1
83,167,961,0
97,91,962,0
100,100,965,0
97,92,967,0
77,93,674,1
101,93,962,1
72,88,285,1
83,132,81,1
100,96,943,0
118,86,953,1
78,97,83,1
98,89,954,0
98,90,957,0
76,103,969,0
112,102,935,1
100,84,960,0
95,396,949,1
71,92,471,1
81,132,965,0
76,101,969,0
111,97,934,1
98,85,959,0
100,97,961,0
70,86,323,1
120,91,957,1
99,97,959,0
116,101,931,1
103,90,965,1
75,86,828,0
70,88,545,1
70,88,320,1
117,85,952,1
84,138,967,0
97,88,952,0
82,96,87,1
122,83,951,1
83,82,961,0
85,289,948,1
81,94,285,1
74,91,327,1
88,268,951,1
86,296,945,1
98,86,954,0
109,85,959,1
99,96,961,0
75,91,381,1
98,94,967,0
75,72,970,0
74,300,967,1
79,99,676,1
117,103,943,1
81,102,81,1
99,86,951,0
75,95,967,0
134,88,954,1
109,93,942,1
75,83,674,1
81,134,966,0
83,108,970,0
119,92,962,1
128,86,956,1
97,98,965,0
99,98,944,0
96,398,951,1
100,92,960,0
85,136,969,0
99,96,962,0
113,102,936,1
76,99,365,1
114,86,951,1
83,122,947,0
107,100,931,1
76,94,81,1
76,300,968,1
79,93,85,1
75,96,85,1
102,80,951,1
97,100,966,0
121,101,958,1
85,103,74,1
76,101,969,0
77,298,971,1
96,85,956,0
71,83,681,1
75,91,82,1
82,95,125,1
113,83,957,1
98,99,967,0
97,97,968,0
100,94,958,0
73,180,969,0
99,84,954,0
98,89,958,0
99,92,958,0
99,90,959,0
130,81,949,1
79,185,962,0
77,153,968,0
100,92,965,0
100,85,950,0
120,84,956,1
121,92,954,1
80,93,87,1
107,81,954,1
97,99,961,0
132,82,955,1
100,94,940,0
123,96,955,1
99,88,951,0
100,96,942,0
99,83,954,0
75,107,970,0
99,98,963,0
75,97,969,0
86,139,80,1
100,91,964,0
107,99,958,1
84,268,952,1
76,91,81,1
99,96,958,0
100,86,957,0
129,84,954,1
90,103,963,0
89,113,929,0
71,84,677,1
77,103,83,1
120,96,959,1
89,397,945,1
93,266,952,1
75,160,969,0
80,134,966,0
86,208,948,0
75,160,969,0
113,90,959,1
80,101,78,1
96,80,951,0
100,88,957,0
90,345,947,1
110,95,938,1
72,87,90,1
100,87,956,0
82,143,959,0
97,89,949,0
100,81,951,0
78,104,962,0
102,98,958,1
82,95,367,1
79,96,678,1
84,83,955,0
109,100,939,1
100,89,959,0
100,85,955,0
100,83,956,0
99,94,941,0
81,116,947,0
129,85,949,1
97,86,951,0
99,80,953,0
108,90,951,1
99,96,960,0
75,100,119,1
71,79,517,1
100,96,943,0
81,94,73,1
74,94,84,1
84,180,947,0
100,86,955,0
83,83,960,0
75,85,970,0
100,85,949,0
84,112,968,0
80,98,92,1
108,83,957,1
99,96,936,0
73,94,373,1
99,81,956,0
120,94,963,1
79,97,90,1
77,85,961,0
78,88,338,1
106,88,958,1
122,89,959,1
79,122,953,0
76,83,471,1
106,97,941,1
108,79,958,1
74,85,963,0
112,87,954,1
73,87,280,1
100,81,950,0
121,90,951,1
84,180,945,0
100,87,951,0
91,270,946,1
76,277,964,1
100,88,959,0
106,89,950,1
104,99,965,1
73,94,78,1
99,91,940,0
70,100,682,1
79,96,90,1
87,213,948,0
71,274,966,1
97,99,965,0
125,86,956,1
75,98,371,1
103,97,965,1
73,216,970,0
86,291,950,1
97,99,965,0
79,131,947,0
102,82,957,1
70,92,672,1
89,344,950,1
81,114,946,0
106,90,951,1
99,96,960,0
97,93,958,0
99,83,952,0
130,91,963,1
77,84,380,1
100,92,945,0
103,80,958,1
107,101,964,1
83,82,961,0
98,94,964,0
83,122,947,0
106,89,950,1
99,96,940,0
124,86,954,1
74,118,968,0
115,85,955,1
112,100,936,1
74,98,93,1
131,87,948,1
132,85,952,1
100,84,956,0
84,165,948,0
80,106,77,1
80,86,478,1
110,85,956,1
99,98,958,0
100,87,951,0
75,87,384,1
99,96,966,0
74,228,969,0
73,93,85,1
99,83,950,0
105,87,958,1
85,108,969,0
100,87,951,0
73,269,967,1
105,87,951,1
118,89,948,1
77,86,319,1
100,91,967,0
78,98,965,0
100,92,958,0
70,84,971,0
114,98,941,1
78,96,963,0
100,95,938,0
97,81,951,0
107,86,958,1
73,84,385,1
98,95,963,0
84,129,947,0
